title,model_family,generation_number,is_pro,storage_gb_numeric,condition,price,wasPrice,price_discount_pct,available,sold,was_lot
apple iPhone 14 Pro MAX 6.7 Verizon AT&T T-Mobile GSM Factory Unlocked touch,iPhone 14 Pro Max,14.0,True,128.0,Used,449.99,,,0.0,1.0,False
Factory New Sealed Apple iPhone 13 MINI A2481 128/256GB Fully Unlocked GSM+CDMA,iPhone 13 Mini,13.0,False,256.0,New,321.01,,,2.0,3.0,False
Apple iPhone 13 MINI A2481 128/256/512GB Factory Unlocked T-Mobile AT&T Verizon,iPhone 13 Mini,13.0,False,512.0,Open Box,327.55,,,2.0,2.0,False
New in Sealed Box Apple iPhone 14 PRO MAX A2651 128/256GB Unlocked Smartphone US,iPhone 14 Pro Max,14.0,True,256.0,New,699.99,,,2.0,3.0,False
New Apple iPhone 13/iPhone 14/14 Pro Max Factory Unlocked GSM CDMA Smartphones,iPhone 13,13.0,False,128.0,New,409.95,,,10.0,10.0,False
NEW SEALED APPLE IPHONE 14 PRO MAX 128-512GB FACTORY UNLOCKED GSM+CDMA US SHIP,iPhone 14 Pro Max,14.0,True,512.0,New,699.99,,,2.0,5.0,False
"New Sealed Apple iPhone 13 Mini (128/256GB) 5G ,Factory Unlocked (USA Model)",iPhone 13 Mini,13.0,False,256.0,New,323.99,,,2.0,1.0,False
apple iPhone 14 Verizon AT&T T-Mobile GSM Factory Fully Unlocked Phone scrn jump,iPhone 14,14.0,False,128.0,Used,254.99,,,0.0,1.0,False
New 2025 Apple - iPhone 17 6.3-inch A3258 USA eSIM Unlocked,iPhone 17,17.0,False,128.0,New,994.99,,,0.0,27.0,False
New 2025 Apple - iPhone 17 Air 6.5-inch A3260 USA eSIM Unlocked,iPhone 17,17.0,False,128.0,New,1199.99,,,0.0,27.0,False
New Sealed in Box Apple iPhone 13/13 Pro Max 5G Factory Unlocked 2 YEAR WARRANTY,iPhone 13,13.0,False,128.0,New,432.12,,,2.0,13.0,False
New 2025 Apple - iPhone 17 Pro Max 6.9-inch A3257 USA eSIM Unlocked,iPhone 17 Pro Max,17.0,True,128.0,New,1474.99,,,0.0,79.0,False
"New Apple iPhone 13 128GB 256GB Unlocked, Verizon, AT&T, T-Mobile -Free Shipping",iPhone 13,13.0,False,128.0,New,432.12,,,2.0,2.0,False
Factory New Sealed Apple iPhone 14 PRO MAX 128/256/512GB UNLOCKED 2 YEAR WARRANT,iPhone 14 Pro Max,14.0,True,512.0,New,699.88,,,2.0,20.0,False
New Sealed Apple iPhone 13 Mini Factory Unlocked 256G/128 ALL Carrier Fast Ship,iPhone 13 Mini,13.0,False,128.0,New,321.01,402.51,20.25,2.0,6.0,False
"Genuine Apple iPhone 17 Pro Max 6.9"" DUAL NANO SIM China Model A3527 Unlocked",iPhone 17 Pro Max,17.0,True,128.0,New,1999.0,,,49.0,4.0,False
"Genuine Apple iPhone 17 Pro Max 6.9"" One NANO SIM + eSIM China A3526 Unlocked",iPhone 17 Pro Max,17.0,True,128.0,New,1789.0,,,49.0,8.0,False
Brand New in Sealed Box Apple iPhone 13 MINI A2481 128GB USA Unlocked Smartphone,iPhone 13 Mini,13.0,False,128.0,New,321.01,,,2.0,14.0,False
Factory New Sealed Apple iPhone 13 A2482 128GB 256GB 512GB Unlocked US SHIPPING,iPhone 13,13.0,False,128.0,New,432.12,,,2.0,16.0,False
Apple iPhone 14 Pro Max 1TB Unlocked Fair - All Colors- Used Excellent,iPhone 14 Pro Max,14.0,True,1024.0,Used,539.99,,,2.0,1.0,False
Apple iPhone 17 256GB E -SIM US Version - Unlocked - Good,iPhone 17,17.0,False,256.0,Good - Refurbished,799.99,,,4.0,1.0,False
Apple iPhone 17 256GB E -SIM US Version - Unlocked - Excellent,iPhone 17,17.0,False,256.0,Excellent - Refurbished,789.99,,,10.0,101.0,False
"GENUINE Apple iPhone 17 6.3"" Physical NANO SIM + eSIM A3520 Unlocked 256GB/512GB",iPhone 17,17.0,False,256.0,New,1089.0,,,46.0,10.0,False
"New & Sealed Apple iPhone 14 (128GB/256GB) Factory Unlocked, All Mobile Carriers",iPhone 14,14.0,False,128.0,New,403.95,,,5.0,1.0,False
Apple iPhone 16 A3081 Unlocked 256GB Pink Good,iPhone 16,16.0,False,256.0,Good - Refurbished,570.01,,,0.0,1.0,False
Apple iPhone 13 mini 128GB Factory Unlocked Red Very Good Condition,iPhone 13 Mini,13.0,False,128.0,Very Good - Refurbished,305.67,,,18.0,2.0,False
Apple IPhone 17 Pro Max 5G (Unlocked) 512GB Dual SIM 6.9in 48MP OLED Display,iPhone 17 Pro Max,17.0,True,512.0,New,2199.0,,,0.0,30.0,False
Apple iPhone 12 - 64GB | 128GB - A2172 (Unlocked) Smartphone - Very Good,iPhone 12,12.0,False,64.0,Very Good - Refurbished,194.7,204.95,5.0,10.0,25.0,False
